date, pm10, o3, no2
2017/2/28, 35, 29, 27
2017/3/1, 20, 23, 32
2017/3/2, 17, 19, 29
2017/3/3, 15, 23, 36
2017/3/4, 27, 24, 39
2017/3/5, 30, 28, 23
2017/3/6, 20, 14, 41
2017/3/7, 29, 19, 25
2017/3/8, 20, 21, 29
2017/3/9, 29, 18, 35
2017/3/10, 28, 27, 30
2017/3/11, 20, 24, 29
2017/3/12, 25, 16, 23
2017/3/13, 32, 16, 39
2017/3/14, 44, 15, 39
2017/3/15, 43, 24, 26
2017/3/16, 31, 21, 35
2017/3/17, 32, 23, 34
2017/3/18, 35, 30, 18
2017/3/19, 17, 25, 23
2017/3/20, 14, 16, 27
2017/3/21, 20, 21, 28
2017/3/22, 19, 25, 37
2017/3/23, 25, 22, 28
2017/3/24, 29, 32, 32
2017/3/25, 24, 32, 34
2017/3/26, 22, 11, 28
2017/3/27, 22, 28, 50
2017/3/28, 62, 29, 51
2017/3/29, 52, 22, 38
2017/3/30, 38, 22, 35
2017/3/31, 35, 34, 41
2017/4/1, 34, 38, 39
2016/10/2, 26, 17, 22
2016/10/3, 21, 21, 20
2016/10/4, 17, 22, 13
2016/10/5, 12, 19, 18
2016/10/6, 9, 17, 15
2016/10/7, 12, 8, 20
2016/10/8, 17, 15, 16
2016/10/9, 11, 11, 19
2016/10/10, 11, 7, 27
2016/10/11, 19, 4, 22
2016/10/12, 17, 4, 16
2016/10/13, 19, 10, 20
2016/10/14, 26, 16, 24
2016/10/15, 39, 8, 24
2016/10/16, 36, 2, 17
2016/10/17, 50, 3, 21
2016/10/18, 38, 2, 23
2016/10/19, 42, 7, 34
2016/10/20, 28, 6, 32
2016/10/21, 24, 5, 32
2016/10/22, 29, 8, 24
2016/10/23, 29, 4, 20
2016/10/24, 28, 2, 24
2016/10/25, 50, 2, 24
2016/10/26, 44, 4, 30
2016/10/27, 29, 1, 27
2016/10/28, 43, 7, 24
2016/10/29, 29, 22, 26
2016/10/30, 18, 21, 23
2016/10/31, 17, 2, 37
2016/11/1, 30, 11, 27
2016/11/2, 25, 17, 24
2016/11/3, 13, 9, 34
2016/11/4, 22, 3, 30
2016/11/5, 28, 2, 27
2016/11/6, 30, 7, 24
2016/11/7, 28, 11, 23
2016/11/8, 15, 10, 27
2016/11/9, 23, 12, 28
2016/11/10, 23, 2, 28
2016/11/11, 48, 7, 26
2016/11/12, 51, 7, 32
2016/11/13, 42, 9, 35
2016/11/14, 43, 6, 43
2016/11/15, 45, 5, 29
2016/11/16, 26, 5, 26
2016/11/17, 18, , 30
2016/11/18, 16, 14, 32
2016/11/19, 10, 13, 32
2016/11/20, 14, 15, 21
2016/11/21, 14, 9, 34
2016/11/22, 29, 2, 35
2016/11/23, 42, 2, 34
2016/11/24, 47, 8, 27
2016/11/25, 27, 8, 37
2016/11/26, 25, 3, 26
2016/11/27, 28, 19, 21
2016/11/28, 15, 19, 29
2016/11/29, 13, 8, 41
2016/11/30, 23, 4, 34
2016/12/1, 26, 19, 27
2016/12/2, 18, 24, 28
2016/12/3, 15, 7, 37
2016/12/4, 25, 1, 30
2016/12/5, 37, , 34
2016/12/6, 38, , 37
2016/12/7, 32, 3, 31
2016/12/8, 36, 10, 36
2016/12/9, 39, 6, 29
2016/12/10, 29, 8, 24
2016/12/11, 32, 17, 18
2016/12/12, 17, 21, 32
2016/12/13, 17, 3, 35
2016/12/14, 31, 7, 29
2016/12/15, 27, 15, 35
2016/12/16, 24, 5, 35
2016/12/17, 32, 2, 26
2016/12/18, 32, 7, 25
2016/12/19, 28, 5, 32
2016/12/20, 25, 6, 28
2016/12/21, 32, 3, 28
2016/12/22, 38, , 32
2016/12/23, 31, 3, 29
2016/12/24, 27, 15, 20
2016/12/25, 19, 21, 13
2016/12/26, 11, 25, 11
2016/12/27, 9, 27, 20
2016/12/28, 20, 23, 21
2016/12/29, 12, 15, 35
2016/12/30, 24, 3, 31
2016/12/31, 30, 6, 28
2017/1/1, 33, 10, 23
2017/1/2, 59, 8, 27
2016/7/2, 23, 24, 26
2016/7/3, 20, 29, 16
2016/7/4, 14, 32, 33
2016/7/5, 18, 32, 37
2016/7/6, 28, 26, 19
2016/7/7, 18, 27, 26
2016/7/8, 19, 40, 39
2016/7/9, 28, 27, 20
2016/7/10, 18, 34, 24
2016/7/11, 19, 33, 35
2016/7/12, 25, 34, 36
2016/7/13, 25, 27, 30
2016/7/14, 23, 19, 24
2016/7/15, 17, 20, 22
2016/7/16, 15, 36, 25
2016/7/17, 18, 22, 20
2016/7/18, 19, 22, 27
2016/7/19, 20, 21, 27
2016/7/20, 22, 31, 41
2016/7/21, 24, 38, 43
2016/7/22, 29, 41, 33
2016/7/23, 27, 40, 27
2016/7/24, 23, 42, 21
2016/7/25, 35, 50, 39
2016/7/26, 39, 34, 34
2016/7/27, 34, 26, 33
2016/7/28, 26, 27, 30
2016/7/29, 37, 31, 33
2016/7/30, 26, 28, 23
2016/7/31, 19, 31, 23
2016/8/1, 20, 22, 24
2016/8/2, 19, 19, 34
2016/8/3, 23, 10, 25
2016/8/4, 20, 10, 23
2016/8/5, 20, 16, 31
2016/8/6, 25, 24, 21
2016/8/7, 17, 28, 18
2016/8/8, 15, 31, 30
2016/8/9, 26, 24, 23
2016/8/10, 19, 20, 23
2016/8/11, 14, 20, 23
2016/8/12, 16, 18, 23
2016/8/13, 18, 31, 19
2016/8/14, 23, 24, 15
2016/8/15, 16, 22, 21
2016/8/16, 16, 25, 24
2016/8/17, 18, 23, 27
2016/8/18, 17, 22, 33
2016/8/19, 26, 38, 39
2016/8/20, 30, 35, 31
2016/8/21, 28, 27, 19
2016/8/22, 17, 25, 31
2016/8/23, 20, 18, 25
2016/8/24, 25, 31, 38
2016/8/25, 22, 39, 37
2016/8/26, 23, 43, 48
2016/8/27, 31, 52, 32
2016/8/28, 36, 54, 33
2016/8/29, 29, 30, 26
2016/8/30, 20, 27, 29
2016/8/31, 16, 33, 53
2016/9/1, 28, 43, 43
2016/9/2, 34, 28, 37
2016/9/3, 28, 33, 33
2016/9/4, 30, 25, 23
2016/9/5, 19, 21, 22
2016/9/6, 15, 25, 36
2016/9/7, 15, 32, 50
2016/9/8, 25, 41, 49
2016/9/9, 39, 46, 45
2016/9/10, 42, 48, 38
2016/9/11, 37, 51, 30
2016/9/12, 32, 51, 45
2016/9/13, 40, 50, 54
2016/9/14, 48, 44, 39
2016/9/15, 42, 38, 45
2016/9/16, 27, 42, 47
2016/9/17, 43, 29, 28
2016/9/18, 35, 25, 22
2016/9/19, 20, 26, 23
2016/9/20, 23, 26, 31
2016/9/21, 24, 23, 28
2016/9/22, 24, 20, 39
2016/9/23, 32, 27, 48
2016/9/24, 43, 28, 35
2016/9/25, 32, 36, 33
2016/9/26, 32, 22, 41
2016/9/27, 43, 25, 42
2016/9/28, 41, 20, 28
2016/9/29, 40, 24, 27
2016/9/30, 30, 23, 29
2016/10/1, 20, 7, 29
2016/4/2, 19, 30, 31
2016/4/3, 24, 30, 27
2016/4/4, 31, 25, 51
2016/4/5, 49, 32, 51
2016/4/6, 58, 31, 28
2016/4/7, 29, 28, 33
2016/4/8, 22, 26, 36
2016/4/9, 27, 34, 33
2016/4/10, 36, 34, 20
2016/4/11, 23, 21, 26
2016/4/12, 27, 16, 35
2016/4/13, 42, 30, 35
2016/4/14, 49, 24, 31
2016/4/15, 34, 16, 38
2016/4/16, 34, 22, 28
2016/4/17, 18, 30, 21
2016/4/18, 14, 27, 32
2016/4/19, 18, 30, 25
2016/4/20, 24, 30, 26
2016/4/21, 21, 30, 33
2016/4/22, 27, 30, 32
2016/4/23, 22, 30, 24
2016/4/24, 20, 29, 17
2016/4/25, 11, 27, 26
2016/4/26, 17, 27, 30
2016/4/27, 16, 23, 26
2016/4/28, 15, 29, 30
2016/4/29, 21, 34, 41
2016/4/30, 23, 43, 37
2016/5/1, 23, 48, 23
2016/5/2, 28, 43, 29
2016/5/3, 22, 34, 39
2016/5/4, 34, 30, 26
2016/5/5, 16, 41, 25
2016/5/6, 16, 50, 38
2016/5/7, 27, 48, 29
2016/5/8, 27, 45, 25
2016/5/9, 25, 45, 35
2016/5/10, 32, 48, 34
2016/5/11, 36, 53, 37
2016/5/12, 29, 48, 27
2016/5/13, 33, 45, 20
2016/5/14, 25, 35, 22
2016/5/15, 23, 30, 16
2016/5/16, 13, 28, 14
2016/5/17, 13, 28, 29
2016/5/18, 16, 36, 39
2016/5/19, 31, 47, 46
2016/5/20, 37, 34, 35
2016/5/21, 35, 35, 29
2016/5/22, 28, 47, 32
2016/5/23, 27, 41, 40
2016/5/24, 40, 30, 25
2016/5/25, 34, 17, 23
2016/5/26, 31, 16, 27
2016/5/27, 39, 35, 37
2016/5/28, 36, 43, 38
2016/5/29, 30, 48, 27
2016/5/30, 27, 37, 32
2016/5/31, 34, 34, 31
2016/6/1, 41, 29, 32
2016/6/2, 30, 41, 35
2016/6/3, 30, 42, 33
2016/6/4, 29, 53, 37
2016/6/5, 34, 43, 31
2016/6/6, 33, 36, 27
2016/6/7, 21, 45, 33
